"Species","n","model","aic","intercept","road","forest","roadforest"
"EVGR",5559,2,22911.6742930646,4.60320793145438,-0.281788950562744,NA,NA
"EVGR",5559,3,22873.1766105868,4.42378446125652,NA,0.235584834467915,NA
"EVGR",5559,4,22736.6650116073,4.45930550963302,-0.264527506014071,0.226392480563531,NA
"EVGR",5559,5,22738.5886967569,4.45828815647866,-0.255643263141969,0.227895620955533,-0.0156271242396705
"FEHA",121,1,404.633655694987,5.16974600227052,NA,NA,NA
"FEHA",121,2,405.463366604418,5.18296817031289,-0.44471205208272,NA,NA
"FEHA",121,3,406.35444281893,5.14445744794641,NA,0.103728833919089,NA
"FEHA",121,4,407.273259023764,5.16133533036306,-0.427439610261969,0.0861581800647341,NA
"FEHA",121,5,405.389461999378,5.14406428861516,-0.0842899221179695,0.162247734773899,-1.66912011106268
"FICR",1259,1,1980.07266713246,4.7861574563066,NA,NA,NA
"FICR",1259,2,1948.03866922646,4.90874894742307,-0.329169995967959,NA,NA
"FICR",1259,3,1982.02399019756,4.7933097713341,NA,-0.0149388334081344,NA
"FICR",1259,4,1948.79768263315,4.95093475869296,-0.339525480934147,-0.0797912122870156,NA
"FICR",1259,5,1950.74684706216,4.94492396214994,-0.324368516910253,-0.0685222949532159,-0.0336106201260432
"FISP",7145,1,29099.3364672988,4.74581461823803,NA,NA,NA
"FISP",7145,2,28617.0490897342,4.80938588966499,-0.401787319197938,NA,NA
"FISP",7145,3,28816.049848393,4.85295755491978,NA,-0.262066048827777,NA
"FISP",7145,4,28281.0243344033,4.9326455261913,-0.425336244517591,-0.29018545892155,NA
"FISP",7145,5,28278.1375415781,4.94024826780841,-0.461149738298103,-0.305994099152526,0.0912611980237396
"FLSJ",88,1,343.46229044248,3.8397416676733,NA,NA,NA
"FLSJ",88,2,337.273723286055,4.03530875199228,-0.303304241711225,NA,NA
"FLSJ",88,3,333.635936672874,4.15076358218965,NA,-0.578788121756883,NA
"FLSJ",88,4,325.368221628546,4.41846647765784,-0.343374207454886,-0.662504355399104,NA
"FLSJ",88,5,320.673487496945,4.10125077944329,0.223487096380413,-0.127107059589142,-0.963147713527788
"FOSP",6875,1,25810.4934099491,4.43577784255951,NA,NA,NA
"FOSP",6875,2,25705.9050194057,4.45845627279229,-0.177109687727977,NA,NA
"FOSP",6875,3,25773.8493364371,4.36776779690992,NA,0.0962116545986644,NA
"FOSP",6875,4,25679.5649540877,4.39855333368381,-0.168507945293716,0.0830254313752415,NA
"FOSP",6875,5,25680.6699519166,4.3947017903861,-0.14035419834682,0.0885126012222807,-0.045193754136171
"GAQU",1171,1,7022.72717465323,4.86431101331743,NA,NA,NA
"GAQU",1171,2,7012.46395829055,4.85263985545722,0.259259327076188,NA,NA
"GAQU",1171,3,6957.35826481573,4.7803525831612,NA,0.291894623969074,NA
"GAQU",1171,4,6954.41849072162,4.77621062294239,0.171616804555517,0.279236441315011,NA
"GAQU",1171,5,6955.90559974292,4.77781447484598,0.109411637829853,0.272729123975703,0.126627994335373
"GCFL",26249,1,65276.084667168,4.31413545631543,NA,NA,NA
"GCFL",26249,2,65272.6756675427,4.31965036651883,-0.019826102182512,NA,NA
"GCFL",26249,3,62221.6449373809,4.61255264036448,NA,-0.529365916042347,NA
"GCFL",26249,4,62120.9138583769,4.64867361646019,-0.0898981280266993,-0.547995390347259,NA
"GCFL",26249,5,62052.2856729699,4.68190441276346,-0.20307674848277,-0.595692759261514,0.203197606355224
"GCKI",21116,1,44988.6648348725,3.63793404826908,NA,NA,NA
"GCKI",21116,2,44990.6509614673,3.63773969717082,0.00131819491440805,NA,NA
"GCKI",21116,3,44613.368196486,3.76361703516546,NA,-0.17877641765161,NA
"GCKI",21116,4,44614.8724239509,3.7648178737597,-0.00766039273927824,-0.179063267852339,NA
"GCKI",21116,5,44606.2698704164,3.77116676888539,-0.0847073893956161,-0.187817822224509,0.115364765460623
"GCSP",364,1,3229.16852780448,3.95665828533083,NA,NA,NA
"GCSP",364,2,3203.15607895664,3.97526551462725,-0.486240637417449,NA,NA
"GCSP",364,3,3230.65644725691,3.95234190896246,NA,0.0528893005310008,NA
"GCSP",364,4,3203.92823411551,3.96882317805428,-0.494524344245136,0.083008920001294,NA
"GCSP",364,5,3198.82164975614,3.97272914747282,-0.609968511576928,0.0314939345100447,0.958789809452832
"GCTH",99,1,207.82402798126,4.0596559633695,NA,NA,NA
"GCTH",99,2,208.782298401884,4.05150454644246,0.343064192863447,NA,NA
"GCTH",99,3,209.235392524772,4.11477432050463,NA,-0.0911925250877479,NA
"GCTH",99,4,210.281538764922,4.10264223604275,0.329091463472961,-0.0840778488790415,NA
"GCTH",99,5,212.183842551644,4.10536795654873,0.19286450824517,-0.0885021435631842,0.324723360660024
"GFWO",283,1,1158.53419665749,4.95646370993574,NA,NA,NA
"GFWO",283,2,1160.36013148047,4.9608363314415,-0.0634929366018192,NA,NA
"GFWO",283,3,1160.53179055949,4.95764777159393,NA,-0.00455464884077886,NA
"GFWO",283,4,1162.35704374228,4.96238953561573,-0.0641384274231128,-0.00505216233577353,NA
"GFWO",283,5,1162.99195756959,4.95274385252162,0.0610483476661519,0.0280128844196683,-0.368078357717766
"GHOW",667,1,1753.86065546263,4.92802404928223,NA,NA,NA
"GHOW",667,2,1750.55438044403,4.95749445570969,-0.195793241183264,NA,NA
"GHOW",667,3,1750.25643996122,4.87860656370282,NA,0.182841939885139,NA
"GHOW",667,4,1747.049113381,4.9079886236955,-0.193696673124528,0.181805334708826,NA
"GHOW",667,5,1749.02223862882,4.9094102104431,-0.202060090926278,0.175559417570678,0.0359353745703441
"GIWO",136,1,641.891587292396,4.84447318587201,NA,NA,NA
"GIWO",136,2,639.341921673891,4.8331273508639,10.2504087451571,NA,NA
"GIWO",136,3,642.890691974113,4.88106253725986,NA,-0.113418512458312,NA
"GIWO",136,4,640.427271442773,4.86850418577524,6.0055027748932,-0.108046101288018,NA
"GIWO",136,5,642.42723772378,4.86839430546196,6.60917525026696,-0.108036115115733,6.13200496964612
"GOEA",255,1,382.821553409096,5.59348548886275,NA,NA,NA
"GOEA",255,2,382.119553379929,5.55828792904477,0.66420179255544,NA,NA
"GOEA",255,3,384.787723332275,5.58239739075208,NA,0.0359192627650248,NA
