"Species","n","model","aic","intercept","tssr","tssr2","od","od2"
"CONW",1667,1,2631.06860604796,-0.845297618177561,NA,NA,NA,NA
"CONW",1667,2,2623.90205104813,-0.835748524076944,NA,NA,-3.33724663731544,NA
"CONW",1667,3,2622.08696213746,-0.776452321779604,NA,NA,-3.72716904787421,-76.7134585791936
"CONW",1667,4,2631.07602914477,-0.849167181447326,0.873824972440179,NA,NA,NA
"CONW",1667,5,2621.57701860341,-0.935140011541854,-0.114671581677007,31.6230416980812,NA,NA
"CONW",1667,6,2624.58383936417,-0.839291212325354,0.714176651128796,NA,-3.2346294737932,NA
"CONW",1667,7,2623.13296921976,-0.782135183464565,0.603873585425091,NA,-3.62907954242952,-73.1515250264552
"CONW",1667,8,2614.3716073869,-0.927591062454765,-0.273568295493341,32.2464486824667,-3.38817294318163,NA
"CONW",1667,9,2618.17150723041,-0.868323773988039,-0.532514368762742,25.6584366879314,-3.16018021609838,-6.42356150456961
"CORA",12914,1,37621.3925176979,-1.64791185408622,NA,NA,NA,NA
"CORA",12914,2,37601.0552474008,-1.64904400876848,NA,NA,2.47066512505658,NA
"CORA",12914,3,37602.4921525161,-1.65844266681443,NA,NA,2.54435936590831,6.0875936646449
"CORA",12914,4,37621.1281894789,-1.65062875692874,0.560259071418693,NA,NA,NA
"CORA",12914,5,37611.3361308107,-1.59634967410203,1.31375743374975,-21.6153498496726,NA,NA
"CORA",12914,6,37601.3554300412,-1.65117709086076,0.486011669223482,NA,2.43653311518221,NA
"CORA",12914,7,37602.7502040234,-1.66001553219318,0.490524801929245,NA,2.50788196792929,6.05867118104906
"CORA",12914,8,37591.2143458988,-1.59644384620004,1.22950249861703,-21.9690901097676,2.47958167451609,NA
"CORA",12914,9,37592.4333285763,-1.60677240173663,1.24653599930528,-22.2233478404289,2.54009107524957,7.24221064386112
"CORE",1624,1,6227.48586026074,-18.9437207500642,NA,NA,NA,NA
"CORE",1624,2,6229.48586026074,-18.9437207500642,NA,NA,0,NA
"CORE",1624,3,6231.48586026074,-18.9437207500642,NA,NA,0,0
"CORE",1624,4,6229.48586026074,-18.9437207500642,0,NA,NA,NA
"CORE",1624,5,6231.48586026074,-18.9437207500642,0,0,NA,NA
